"ì˙ït","ìXÉRÅ[Éh","ïîñÂÉRÅ[Éh","ãqêî","ì_êî","îÑè„ã‡äz","çróòã‡äzó›åv"
20130905,1,1,604,1342,190770,966241
20130905,1,2,250,373,124042,613117
20130905,1,3,295,406,117593,583498
20130905,1,4,137,157,41691,230672
20130905,1,5,414,637,219140,1532095
20130905,1,6,170,199,50813,297879
20130905,1,7,1049,3127,465850,1999645
20130905,1,8,447,775,173128,1041924
20130905,1,9,354,637,91008,346402
20130905,1,10,759,1601,314886,933968
20130905,1,11,71,96,21088,59806
20130905,1,12,388,576,65781,238446
20130905,1,13,0,0,0,0
20130905,1,14,63,99,52833,95529
20130905,1,15,158,266,58715,357987
20130905,1,16,0,0,0,0
20130905,1,17,0,0,0,0
20130905,1,18,158,321,44744,326924
20130905,1,19,190,326,113996,346224
20130905,1,20,0,0,0,0
20130905,3,1,780,1995,283515,1042557
20130905,3,2,331,452,132492,595793
20130905,3,3,415,657,201931,764396
20130905,3,4,165,183,49947,311685
20130905,3,5,511,792,293895,1488491
20130905,3,6,222,273,73572,338760
20130905,3,7,1104,3586,529629,2081848
20130905,3,8,449,847,167690,990838
20130905,3,9,415,748,112603,373659
20130905,3,10,784,1851,372608,963043
20130905,3,11,173,273,67495,165035
20130905,3,12,533,824,102134,316074
20130905,3,13,0,0,0,0
20130905,3,14,44,87,49158,82103
20130905,3,15,166,233,85004,641832
20130905,3,16,0,0,0,1044
20130905,3,17,56,136,40553,173252
20130905,3,18,0,0,0,0
20130905,3,19,183,327,125412,244505
20130905,3,20,0,0,0,0
20130905,6,1,770,1930,257588,1115107
20130905,6,2,400,592,173953,791030
20130905,6,3,343,505,145605,707079
20130905,6,4,191,255,106883,271392
20130905,6,5,429,667,252580,1271489
20130905,6,6,226,279,74795,322205
20130905,6,7,1215,3385,492775,1955911
20130905,6,8,665,1354,269968,1459744
20130905,6,9,335,571,81214,289960
20130905,6,10,868,1768,381670,972013
20130905,6,11,145,252,46636,107650
20130905,6,12,531,821,99267,363211
20130905,6,13,0,0,0,3424
20130905,6,14,42,56,32909,64158
